"Année","Identifiant","Type dépôt","Type document","Statut","Auteurs","Titre","Affiliations","Projets","Référence interne","doi","Actes","linkExtId"
2017,"hal-01525883","notice","Article dans une revue",,"V. Pischedda, S. Radescu, M. Dubois, N. Batisse, F. Balima, C. Cavallaria, L. Cardenas","Experimental and DFT high pressure study of fluorinated graphite (C2F)(n).","ILM, Departamento de Física Fundamental II, MALTA Consolider Team, and Instituto de Materiales y Nanotecnología, Universidad de La Laguna, ICCF, IRCELYON, XPS, UCBL, Université de Lyon, CNRS, Departamento de Física Fundamental II, Sigma CLERMONT, UCA",,,"10.1016/j.carbon.2016.12.051",,
2017,"hal-01499297","notice","Article dans une revue",,"Romain Mathieu, Justine Epinat-Duclos, Monica Sigovan, Audrey Breton, Anne Cheylus, Michel Fayol, Catherine Thevenot, Jérôme Prado","What's Behind a “+” Sign? Perceiving an Arithmetic Operator Recruits Brain Circuits for Spatial Orienting","Faculté de Psychologie et des Sciences de l’Education, ISC, MOTIVATE, LAPSCO, institut de psychologie, université de Lausanne, UNIGE, UCBL, Université de Lyon, CNRS, CREATIS, INSA Lyon, INSA, HCL, UJM, INSERM, UBP",,,"10.1093/cercor/bhx064",,"openaccess"
2017,"hal-01546151","notice","Article dans une revue",,"Kévin Fauché, Lionel Nauton, Laurent Jouffret, Federico Cisnetti, Arnaud Gautier","A catalytic intramolecular nitrene insertion into a copper(I)–N-heterocyclic carbene bond yielding fused nitrogen heterocycles.","ICCF, Sigma CLERMONT, UCA, CNRS",,,"10.1039/C6CC09160A",,
2017,"hal-01635980","file","Article dans une revue",,"Mohamed Ali Bouhifd, V. Clesi, A. Boujibar, N. Bolfan-Casanova, C. Cartier, Tahar Hammouda, M. Boyet, Geeth Manthilake, J. Monteux, Denis Andrault","Silicate melts during Earth's core formation","PHASE, LMV, LMV, CNRS, INSU - CNRS, UJM, Institut de Recherche pour le Développement et la société, UCA, OPGC, UBP, OPGC","anrProject projanr-37828 (Clermont-Ferrand centre for research on volcanism) (CLERVOLC), anrProject projanr-49675 (CAP 20-25 (I-Site)) (CAP 20-25)","Challenge 4","10.1016/j.chemgeo.2016.12.035",,
2017,"hal-01625578","notice","Article dans une revue",,"Etienne Skrzypek, Valérie Bosse, Tetsuo Kawakami, Jean-Emmanuel Martelat, Pavla Štípská","Transient allanite replacement and prograde to retrograde monazite (re)crystallization in medium-grade metasedimentary rocks from the Orlica-Śnieżnik Dome (Czech Republic/Poland): Textural and geochronological arguments","IPGS-Dylbas, LMV, LGL-TPE, Czech Geological Survey [Praha], IPGS, INSU - CNRS, CNRS, UNISTRA, UJM, UBP, OPGC, ENS Lyon, UCBL, Université de Lyon",,,"10.1016/j.chemgeo.2016.11.033",,
2017,"hal-01640083","notice","Article dans une revue",,"Eric Defrancq, Samir Messaoudi","Palladium-Mediated Labeling of Nucleic Acids","DCM - I2BM [2016-2019], SEESIB, DCM [2016-2019], CNRS, UGA [2016-2019], UBP",,,"10.1002/cbic.201600599",,
2017,"hal-01680731","notice","Article dans une revue",,"Céline MELIN, Florian Jacquot, Nicolas Vitello, Radhouane Dallel, Alain Artola","Different processing of meningeal and cutaneous pain information in the spinal trigeminal nucleus caudalis","Neuro-Dol, INSERM, UCA",,,"10.1177/0333102416673204",,"openaccess"
2017,"hal-01680712","notice","Article dans une revue",,"Radhouane Dallel, Amélie Descheemaeker, Philippe Luccarini","Recurrent administration of the nitric oxide donor, isosorbide dinitrate, induces a persistent cephalic cutaneous hypersensitivity: A model for migraine progression.","Neuro-Dol, INSERM, UdA",,,"10.1177/0333102417714032",,
2017,"hal-01543229","notice","Article dans une revue",,"Chaoqiang Zhou, Thangavelu Saravanan, Marion Lorillière, Dongzhi Wei, Franck Charmantray, Laurence Hecquet, Wolf-Dieter Fessner, Dong Yi","Second-generation engineering of a thermostable transketolase (TKGst) for aliphatic aldehyde acceptors with either improved or reversed stereoselectivity.","State Key Laboratory of Bioreactor Engineering, East China University of Science and Technology, Shanghai, Institut für Organische Chemie und Biochemie, Technische Universität Darmstadt, Darmstadt, ICCF, Sigma CLERMONT, UCA, CNRS",,,"10.1002/cbic.201600609",,
2017,"hal-01649906","notice","Article dans une revue",,"Zaineb Trad, Jean-Pierre Fontaine, Christian Larroche, Christophe Vial","Experimental and numerical investigation of hydrodynamics and mixing in a dual-impeller mechanically-stirred digester","IP, Sigma CLERMONT, UCA, CNRS",,,"10.1016/j.cej.2017.07.038",,
2017,"hal-01503019","notice","Article dans une revue",,"Johannes Hammerli, Anthony Kemp, Natasha Barrett, Boswell Wing, Malcom Roberts, Richard Arculus, Pierre Boivin, Prosper Nude, Kai Rankenburg","Sulfur isotope signatures in the lower crust: A SIMS study on S-rich scapolite of granulites","UWA, ANU, LMV, University of Ghana, CNRS, UJM, INSU - CNRS, UBP, OPGC",,,"10.1016/j.chemgeo.2017.02.016",,"openaccess"
2017,"hal-01426407","notice","Article dans une revue",,"Benjamin Latutrie, Andrew J.L. Harris, Etienne Médard, Lucia Gurioli","Eruption and emplacement dynamics of a thick trachytic lava flow of the Sancy volcano (France)","LMV, CNRS, UJM, INSU - CNRS, UBP, OPGC","anrProject projanr-37828 (Clermont-Ferrand centre for research on volcanism) (CLERVOLC), anrProject projanr-49675 (CAP 20-25 (I-Site)) (CAP 20-25)","ClerVolc 227, Challenge 4","10.1007/s00445-016-1084-6",,
